AccX,AccY,AccZ,AngX,AngY,AngZ,class
0.12,-0.13,1.01,-11.1,12.34,22.86,Noise
0.14,-0.09,1.09,-12.22,14.49,23.36,Noise
-0.09,-0.14,1.09,-13.42,14.95,23.3,Noise
-0.02,0.09,0.66,-13.97,13.76,23.19,Noise
0.02,-0.14,1.1,-16.5,13.13,23.78,Noise
0.14,-0.13,1.28,-16.73,13.08,24.32,Noise
0.06,-0.25,1.11,-16.81,13.06,23.53,Noise
-0.06,-0.08,0.61,-18.48,11.47,22.86,Noise
0.15,-0.26,1.22,-19.29,11.96,22.89,Noise
0.08,-0.13,0.99,-19.96,13.73,22.94,Noise
0.05,-0.28,1.02,-20.77,19.15,23.29,Noise
-0.25,-0.1,0.7,-19.96,20.87,22.62,Noise
-0.16,-0.18,0.97,-21.08,22.96,23.18,Noise
-0.07,-0.22,1.07,-21.37,24.22,23.79,Noise
-0.37,-0.2,0.64,-21.26,24.91,22.58,Noise
-0.15,-0.21,1.23,-23.09,27.1,24.47,Noise
0.12,-0.22,1.31,-27.29,25.5,27.4,Noise
-0.32,-0.31,1.07,-27.12,28.24,26.97,Noise
-0.28,-0.31,0.81,-28.08,29.74,26.44,Noise
-0.38,-0.31,0.9,-28.61,30.97,26.41,Noise
-0.28,-0.38,0.78,-32.12,31.9,25.95,Noise
-0.23,-0.35,0.82,-32.75,29.45,27.07,Noise
-0.27,-0.39,0.87,-34.46,28.16,27.66,Noise
-0.39,-0.44,0.88,-34.88,27.66,27.4,Noise
-0.35,-0.55,0.99,-36.03,26.73,28.02,Noise
-0.23,-0.43,0.78,-38.42,21.85,28.11,Noise
-0.11,-0.5,0.8,-37.89,20.68,27.42,Noise
-0.17,-0.59,0.92,-38.26,20.34,27.37,Noise
-0.08,-0.41,0.72,-39.11,19.32,26.75,Noise
-0.16,-0.55,0.82,-39.9,17.34,26.17,Noise
-0.17,-0.57,0.86,-41.56,15.07,24.66,Noise
-0.21,-0.85,1.35,-39.81,10.71,21.13,Noise
0.02,-0.49,0.71,-38.27,10.65,22.0,Noise
-0.15,-0.55,0.96,-36.47,8.47,21.23,Noise
0.07,-0.51,0.96,-33.11,8.21,21.75,Noise
0.19,-0.7,0.97,-32.15,6.47,21.87,Noise
0.1,-0.46,1.03,-27.84,2.11,20.01,Noise
0.27,-0.37,1.07,-24.92,3.98,20.76,Noise
0.01,-0.21,0.88,-19.05,3.58,17.51,Noise
0.15,-0.14,0.84,-17.12,5.4,18.1,Noise
0.04,-0.14,0.78,-14.71,4.81,16.2,Noise
0.03,-0.01,0.62,-12.39,7.91,15.86,Noise
0.13,-0.3,0.99,-13.79,5.02,15.34,Noise
-0.02,0.1,0.52,-10.59,6.46,15.45,Noise
0.3,-0.24,1.12,-10.66,4.94,16.1,Noise
0.13,-0.04,0.89,-10.7,3.39,16.93,Noise
0.31,-0.29,1.17,-9.74,6.03,17.94,Noise
0.08,0.01,0.85,-9.0,6.01,17.95,Noise
0.04,-0.04,0.87,-7.16,8.89,18.78,Noise
0.06,-0.05,0.95,-6.94,8.2,18.42,Noise
0.02,-0.01,0.86,-3.7,13.54,19.17,Noise
0.08,-0.07,0.98,-5.33,14.83,18.96,Noise
0.0,0.05,0.9,-4.47,16.2,18.94,Noise
-0.09,-0.13,1.09,-5.77,15.6,18.78,Noise
-0.04,0.0,0.92,-5.94,16.29,18.75,Noise
-0.05,-0.08,1.02,-5.93,16.93,18.98,Noise
-0.11,-0.02,0.98,-5.73,16.26,18.74,Noise
-0.05,-0.09,1.02,-5.87,16.37,19.01,Noise
-0.11,0.04,0.83,-6.09,15.03,18.62,Noise
-0.1,-0.15,1.12,-5.83,14.27,18.72,Noise
-0.03,0.04,0.85,-6.58,13.53,18.76,Noise
0.01,-0.05,0.99,-6.17,13.29,18.99,Noise
