AccX,AccY,AccZ,AngX,AngY,AngZ,class
-0.08,0.26,0.96,6.59,-9.06,10.31,Parado
-0.06,0.24,1.02,6.89,-8.75,10.49,Parado
-0.06,0.22,0.89,6.74,-8.41,10.76,Parado
-0.03,0.2,0.95,6.16,-7.72,10.76,VibracaoY
-0.04,0.19,0.9,5.16,-7.76,10.59,VibracaoY
-0.06,0.14,0.93,4.25,-7.54,11.05,VibracaoY
-0.03,0.45,1.01,2.22,-7.05,10.91,VibracaoY
0.02,0.86,1.05,5.66,-7.46,9.04,VibracaoY
0.07,0.09,1.17,5.29,-5.18,2.94,VibracaoY
-0.16,-1.69,0.58,1.64,-1.62,0.6,VibracaoY
0.01,-0.65,0.42,-1.55,-5.22,8.82,VibracaoY
0.11,1.7,1.38,7.55,-11.84,19.54,VibracaoY
0.5,2.38,1.31,4.88,-10.44,12.85,VibracaoY
0.54,-0.14,0.88,4.68,-2.59,-2.0,VibracaoY
-0.16,-2.73,0.1,-1.89,-0.84,-4.33,VibracaoY
0.08,-0.56,0.63,0.14,-6.57,7.75,VibracaoY
0.31,1.58,1.47,5.03,-12.96,21.16,VibracaoY
0.44,2.54,1.27,5.98,-9.91,17.03,VibracaoY
0.47,0.4,0.87,4.93,-4.99,2.79,VibracaoY
-0.23,-2.89,0.48,1.75,-1.92,-2.31,VibracaoY
0.04,-0.89,0.56,1.01,-5.17,10.32,VibracaoY
0.39,2.45,1.27,0.21,-7.52,19.08,VibracaoY
0.46,2.27,0.91,0.62,-5.76,9.4,VibracaoY
0.1,-2.13,1.14,-3.15,-1.96,-5.69,VibracaoY
-0.08,-1.83,0.19,-5.79,-3.71,4.63,VibracaoY
0.28,2.27,1.34,-3.27,-9.54,15.73,VibracaoY
0.49,2.55,1.17,-4.01,-7.05,7.11,VibracaoY
0.03,-2.08,0.83,-9.89,-2.93,-5.21,VibracaoY
-0.12,-1.67,0.15,-8.57,-5.03,7.84,VibracaoY
0.36,2.45,1.12,-5.1,-9.15,12.52,VibracaoY
0.42,1.5,1.4,-7.6,-7.48,3.22,VibracaoY
-0.27,-2.27,0.64,-11.09,-2.9,-4.37,VibracaoY
-0.05,-0.81,0.41,-13.63,-5.8,5.35,VibracaoY
0.24,2.42,1.42,-10.28,-10.19,9.59,VibracaoY
0.33,0.87,1.37,-10.38,-7.82,0.31,VibracaoY
-0.34,-2.3,0.6,-12.9,-5.12,-3.18,VibracaoY
-0.0,-0.19,0.58,-14.13,-7.28,6.76,VibracaoY
0.18,2.2,1.31,-10.69,-9.3,7.41,VibracaoY
0.27,0.24,0.96,-13.63,-6.69,-2.77,VibracaoY
-0.26,-2.2,0.83,-15.98,-6.33,-1.97,VibracaoY
0.08,0.72,0.69,-16.05,-9.74,7.67,VibracaoY
0.21,1.77,1.41,-12.93,-9.32,3.98,VibracaoY
0.06,-0.83,0.94,-14.77,-5.31,-6.36,VibracaoY
-0.26,-1.92,0.65,-16.74,-6.21,-1.07,VibracaoY
0.11,1.25,0.95,-14.1,-11.18,8.43,
0.22,1.53,1.39,-13.81,-8.44,3.25,
-0.02,-1.14,0.73,-14.32,-3.67,-6.65,
-0.13,-1.62,0.43,-15.97,-5.69,0.04,
0.05,1.15,1.24,-12.6,-11.68,9.43,
0.17,1.47,1.24,-13.13,-8.85,5.21,
0.15,-0.48,0.72,-10.0,-5.17,-4.71,
-0.11,-1.15,0.9,-10.87,-6.19,-3.03,
-0.16,0.09,1.06,-9.19,-7.36,0.82,
-0.09,0.43,1.03,-9.88,-7.06,2.19,Parado
-0.03,0.18,0.85,-10.45,-7.03,1.49,Parado
-0.06,0.02,0.99,-10.6,-7.84,1.85,Parado
-0.09,-0.03,1.04,-10.01,-7.2,2.54,Parado
-0.1,0.04,0.99,-9.74,-6.96,2.81,Parado
-0.05,0.11,0.93,-8.67,-6.85,3.03,Parado
-0.05,0.05,0.97,-8.59,-6.5,2.64,Parado
-0.08,0.03,0.88,-8.43,-6.04,2.74,Parado
-0.09,0.06,0.98,-7.91,-5.92,3.06,Parado
-0.09,0.06,1.02,-8.11,-5.82,3.19,Parado
-0.08,0.08,0.96,-7.6,-5.51,3.66,VibracaoY
-0.07,-0.02,0.94,-7.22,-5.18,4.26,VibracaoY
-0.06,0.11,0.96,-6.43,-6.18,5.85,VibracaoY
0.03,0.8,1.01,-6.7,-5.59,6.47,VibracaoY
-0.01,0.59,1.1,-8.34,-3.32,2.5,VibracaoY
-0.04,-1.22,0.98,-7.04,-2.14,-2.71,VibracaoY
-0.1,-1.23,0.43,-10.65,1.1,0.17,VibracaoY
-0.02,0.44,0.64,-11.75,-5.44,11.34,VibracaoY
0.46,1.93,1.93,-7.64,-6.91,14.7,VibracaoY
0.41,0.3,1.42,-8.17,-0.57,1.9,VibracaoY
-0.3,-2.4,0.24,-9.79,1.27,-1.94,VibracaoY
0.01,-0.76,0.54,-11.32,-1.33,6.78,VibracaoY
0.18,2.59,1.9,-7.9,-6.51,14.19,VibracaoY
0.5,0.94,1.16,-6.47,-1.0,1.32,VibracaoY
-0.39,-2.54,0.37,-10.45,-0.53,-2.36,VibracaoY
0.08,-0.43,0.52,-11.54,-4.58,9.11,VibracaoY
0.4,2.39,1.8,-8.48,-6.85,9.92,VibracaoY
0.26,0.15,1.04,-10.66,-2.09,-0.6,VibracaoY
-0.32,-2.33,0.52,-13.81,-1.51,1.09,VibracaoY
0.11,0.78,0.78,-11.33,-7.24,13.97,VibracaoY
0.29,1.75,1.57,-7.55,-4.96,8.79,VibracaoY
-0.16,-1.46,0.68,-7.21,-1.27,-0.46,VibracaoY
-0.19,-1.19,0.63,-12.19,-1.7,7.26,VibracaoY
0.15,2.07,1.43,-7.41,-7.73,12.14,VibracaoY
0.27,0.41,1.16,-9.26,-4.6,3.46,VibracaoY
-0.3,-1.49,0.76,-11.22,-4.87,2.85,VibracaoY
-0.08,0.34,0.77,-11.85,-7.13,8.36,VibracaoY
0.08,0.91,1.3,-11.17,-8.48,8.07,VibracaoY
0.0,-0.02,0.91,-11.14,-6.62,4.43,VibracaoY
-0.13,-0.13,0.79,-10.26,-5.85,3.86,VibracaoY
-0.06,0.22,0.98,-7.39,-7.74,4.99,Noise
-0.05,0.11,0.98,-5.95,-12.51,5.44,Noise
0.14,0.2,0.76,-9.24,-22.07,6.4,Noise
0.17,-0.07,1.05,-14.42,-20.04,6.6,Noise
0.21,0.06,0.92,-14.35,-18.94,5.5,Noise
0.16,0.04,0.99,-14.22,-16.42,5.86,Noise
0.14,0.07,0.96,-11.64,-14.87,5.45,Noise
0.08,0.23,0.96,-13.62,-15.66,5.49,Noise
0.2,0.05,0.94,-13.5,-15.78,5.94,Noise
0.1,0.13,0.91,-11.92,-14.2,7.06,Noise
0.17,0.2,0.84,-12.64,-14.32,8.09,Noise
0.01,-0.04,0.56,-5.46,15.45,3.4,Noise
-0.71,0.08,1.78,-11.7,5.23,1.98,Noise
-0.27,0.18,0.62,-7.48,4.4,4.31,Noise
-0.32,0.17,1.01,-9.34,4.96,6.01,Noise
-0.26,0.27,0.76,-9.34,3.76,9.65,Noise
-0.07,-0.06,0.94,-9.92,1.76,9.76,Noise
-0.23,0.08,1.08,-11.63,-3.7,11.03,Noise
-0.23,0.11,0.75,-11.45,-13.36,10.76,Noise
-0.37,0.03,0.87,-14.63,-8.34,13.36,Noise
-0.13,-0.26,1.65,-16.19,-13.67,17.33,Noise
0.01,0.04,0.27,-10.26,-25.45,16.91,Noise
0.73,0.0,1.0,-9.57,-26.38,18.9,Noise
0.33,0.03,0.77,-9.61,-24.87,20.66,Noise
0.1,0.07,1.2,-8.9,-18.28,21.04,Noise
-0.15,0.21,1.22,-9.34,-14.14,19.45,Noise
0.09,0.02,0.85,-9.1,-8.91,19.11,Noise
0.29,-0.02,0.74,-9.37,-5.83,19.39,Noise
0.02,-0.15,1.08,-12.85,-0.22,8.79,Noise
-0.8,0.21,0.86,-10.23,-0.23,5.6,Noise
-0.15,-0.06,1.0,-11.51,3.8,2.35,Noise
-0.48,0.16,0.74,-13.87,8.83,2.2,Noise
-0.56,-0.0,1.11,-12.24,14.81,0.05,Noise
-0.24,-0.21,0.63,-13.8,19.28,-2.52,Noise
-0.83,-0.14,1.91,-13.39,19.82,-1.83,Noise
-0.56,-0.14,1.17,-14.6,19.11,-1.95,Noise
-0.72,-0.04,0.65,-16.6,14.37,-1.85,Noise
0.27,0.0,0.49,-16.01,14.89,-1.01,Noise
-0.54,-0.0,0.94,-17.9,12.93,-3.26,Noise
-0.66,-0.21,1.19,-22.13,11.06,-4.44,Noise
-0.44,-0.3,0.79,-25.4,11.08,-6.46,Parado
-0.41,-0.28,0.74,-25.57,13.13,-7.22,Parado
-0.41,-0.39,0.88,-24.53,14.66,-7.88,Parado
-0.44,-0.36,0.83,-24.54,14.77,-7.91,Parado
-0.42,-0.33,0.81,-24.62,15.19,-8.02,Parado
-0.44,-0.35,0.81,-24.75,15.58,-8.22,Parado
-0.42,-0.36,0.79,-24.92,15.87,-8.38,Parado
-0.43,-0.36,0.79,-24.98,16.2,-8.45,Parado
-0.44,-0.35,0.79,-25.04,16.45,-8.54,Parado
-0.43,-0.35,0.81,-25.11,16.71,-8.61,Parado
-0.43,-0.35,0.78,-25.17,17.08,-8.65,Parado
-0.42,-0.35,0.78,-25.19,17.35,-8.69,Parado
-0.43,-0.36,0.77,-25.14,17.7,-8.72,Parado
-0.44,-0.36,0.8,-25.13,17.86,-8.75,Parado
-0.44,-0.36,0.79,-25.14,18.06,-8.79,Parado
-0.43,-0.36,0.79,-25.16,18.33,-8.82,Parado
-0.45,-0.35,0.79,-25.19,18.53,-8.87,Parado
-0.43,-0.36,0.77,-25.21,18.76,-8.88,Parado
-0.43,-0.38,0.79,-25.29,18.96,-8.91,Parado
-0.44,-0.36,0.78,-25.3,19.13,-8.93,Parado
-0.43,-0.37,0.8,-25.37,19.36,-8.93,Parado
-0.45,-0.38,0.8,-25.4,19.65,-8.95,Parado
-0.44,-0.37,0.79,-25.36,19.57,-8.86,Parado
-0.42,-0.37,0.78,-25.41,19.66,-8.84,Parado
-0.42,-0.35,0.8,-25.13,20.02,-8.81,Parado
-0.43,-0.36,0.77,-25.19,20.23,-8.87,Parado
-0.43,-0.37,0.78,-25.19,20.47,-8.9,Parado
-0.43,-0.37,0.77,-25.25,20.65,-8.91,Parado
-0.44,-0.37,0.78,-25.33,20.83,-8.95,Parado
-0.44,-0.37,0.79,-25.39,21.01,-8.98,Parado
-0.43,-0.37,0.76,-25.46,21.23,-8.98,Parado
-0.43,-0.36,0.77,-25.5,21.37,-8.95,Parado
-0.43,-0.36,0.78,-25.53,21.53,-8.95,Parado
-0.44,-0.37,0.77,-25.59,21.66,-8.96,Parado
-0.43,-0.37,0.78,-25.6,21.75,-8.92,Parado
-0.43,-0.37,0.78,-25.64,21.87,-8.84,Parado
-0.44,-0.39,0.79,-25.76,22.01,-8.84,Parado
-0.45,-0.35,0.78,-25.72,22.18,-8.85,Parado
-0.44,-0.38,0.78,-25.7,22.25,-8.82,Parado
-0.44,-0.37,0.78,-25.71,22.35,-8.81,Parado
-0.46,-0.38,0.78,-25.76,22.52,-8.81,Parado
-0.44,-0.37,0.78,-25.74,22.69,-8.79,Parado
-0.45,-0.37,0.79,-25.78,22.78,-8.8,Parado
-0.44,-0.35,0.77,-25.72,22.94,-8.76,Parado
-0.45,-0.36,0.78,-25.65,23.05,-8.74,Parado
-0.43,-0.38,0.78,-25.69,23.12,-8.72,Parado
-0.45,-0.37,0.78,-25.76,23.28,-8.71,Parado
-0.44,-0.37,0.8,-25.71,23.34,-8.69,Parado
-0.43,-0.37,0.77,-25.72,23.45,-8.67,Parado
-0.43,-0.36,0.77,-25.77,23.57,-8.69,Parado
-0.44,-0.36,0.77,-25.78,23.68,-8.68,Parado
-0.45,-0.38,0.8,-25.77,23.81,-8.67,Parado
-0.44,-0.37,0.79,-25.77,23.9,-8.66,Parado
-0.45,-0.37,0.78,-25.73,24.03,-8.61,Parado
-0.44,-0.36,0.78,-25.74,24.12,-8.59,Parado
-0.44,-0.37,0.77,-25.76,24.3,-8.59,Parado
-0.45,-0.37,0.78,-25.85,24.46,-8.61,Parado
-0.44,-0.36,0.77,-25.87,24.59,-8.55,Parado
-0.45,-0.38,0.78,-25.85,24.66,-8.5,Parado
-0.44,-0.37,0.78,-25.82,24.75,-8.48,Parado
-0.45,-0.37,0.78,-25.83,24.84,-8.5,Parado
-0.44,-0.37,0.77,-25.86,24.98,-8.52,Parado
-0.44,-0.37,0.77,-25.86,25.04,-8.51,Parado
-0.45,-0.37,0.78,-25.92,25.09,-8.53,Parado
-0.45,-0.37,0.78,-26.0,25.25,-8.57,Parado
-0.45,-0.37,0.78,-26.01,25.32,-8.58,Parado
-0.45,-0.37,0.77,-26.01,25.42,-8.6,Parado
-0.44,-0.37,0.77,-26.01,25.5,-8.57,Parado
-0.45,-0.36,0.77,-25.99,25.63,-8.6,Parado
-0.45,-0.37,0.77,-26.01,25.68,-8.6,Parado
-0.44,-0.37,0.77,-26.02,25.71,-8.58,Parado
-0.45,-0.38,0.78,-26.03,25.77,-8.57,Parado
-0.45,-0.36,0.78,-26.03,25.85,-8.58,Parado
-0.45,-0.38,0.77,-26.05,25.88,-8.59,Parado
-0.44,-0.36,0.77,-26.09,25.9,-8.6,Parado
-0.44,-0.37,0.76,-26.06,25.94,-8.55,Parado
-0.45,-0.36,0.77,-26.08,26.01,-8.57,Parado
-0.44,-0.37,0.76,-26.09,26.06,-8.56,Parado
-0.44,-0.37,0.76,-26.04,26.09,-8.52,Parado
-0.45,-0.37,0.78,-26.07,26.19,-8.55,Parado
-0.45,-0.37,0.78,-26.1,26.27,-8.55,Parado
-0.45,-0.36,0.77,-26.08,26.32,-8.55,Parado
-0.44,-0.36,0.77,-26.05,26.35,-8.51,Parado
-0.44,-0.36,0.77,-26.07,26.38,-8.51,Parado
-0.44,-0.37,0.76,-26.09,26.41,-8.5,Parado
-0.45,-0.37,0.76,-26.08,26.45,-8.49,Parado
-0.45,-0.37,0.77,-26.08,26.51,-8.48,Parado
-0.44,-0.37,0.76,-26.11,26.55,-8.47,Parado
-0.45,-0.37,0.78,-26.11,26.59,-8.47,Parado
-0.46,-0.37,0.77,-26.13,26.64,-8.49,Parado
-0.45,-0.38,0.76,-26.16,26.73,-8.53,Parado
-0.44,-0.37,0.76,-26.14,26.77,-8.51,Parado
-0.45,-0.38,0.77,-26.14,26.79,-8.49,Parado
-0.45,-0.37,0.78,-26.14,26.82,-8.48,Parado
-0.45,-0.37,0.77,-26.14,26.85,-8.47,Parado
-0.45,-0.37,0.78,-26.14,26.87,-8.46,Parado
-0.45,-0.37,0.78,-26.14,26.88,-8.45,Parado
-0.45,-0.38,0.77,-26.15,26.93,-8.45,Parado
-0.45,-0.37,0.77,-26.16,26.96,-8.45,Parado
-0.45,-0.37,0.78,-26.15,26.99,-8.46,Parado
-0.45,-0.37,0.76,-26.16,27.03,-8.44,Parado
-0.45,-0.38,0.77,-26.18,27.07,-8.43,Parado
-0.45,-0.38,0.77,-26.18,27.12,-8.41,Parado
