AccX,AccY,AccZ,AngX,AngY,AngZ,class
0.26,-0.92,-2.38,-22.43,6.72,13.27,VibracaoZ
0.35,-0.19,-1.95,-26.88,-8.44,19.53,VibracaoZ
0.88,0.86,3.59,-25.98,-24.35,21.96,VibracaoZ
0.85,0.77,3.96,-27.09,-11.98,16.95,VibracaoZ
0.06,-0.51,-1.04,-27.99,4.8,12.4,VibracaoZ
-0.18,-0.49,-2.45,-34.22,-0.89,16.02,VibracaoZ
0.5,0.44,1.12,-31.61,-15.62,19.53,VibracaoZ
0.74,0.99,4.77,-31.78,-15.59,19.83,VibracaoZ
0.39,0.61,1.44,-30.35,-0.93,16.93,VibracaoZ
-0.33,-1.24,-2.9,-34.24,6.18,14.06,VibracaoZ
0.4,-0.16,-0.76,-38.91,-11.03,19.77,VibracaoZ
0.94,0.79,4.46,-33.78,-23.65,21.91,VibracaoZ
0.68,0.6,2.88,-37.48,-14.88,20.0,VibracaoZ
0.17,-0.04,0.12,-31.61,-1.77,16.36,VibracaoZ
-0.23,-0.48,-1.89,-34.87,-0.18,16.26,VibracaoZ
0.22,0.05,0.22,-35.55,-13.44,18.01,VibracaoZ
0.29,0.07,1.6,-35.96,-19.51,19.01,VibracaoZ
0.17,0.2,1.81,-36.19,-20.6,20.59,Parado
0.26,0.29,1.09,-39.1,-20.98,20.17,Parado
0.28,0.2,1.44,-34.15,-22.32,19.45,Parado
0.27,-0.1,0.97,-34.68,-21.01,17.78,Parado
0.33,0.04,1.07,-32.6,-19.75,18.25,Parado
0.38,-0.13,1.08,-31.48,-19.92,17.89,Parado
0.32,0.01,0.94,-32.24,-19.91,16.54,Parado
0.2,-0.37,0.64,-34.66,-19.92,14.95,Parado
0.06,-0.11,0.75,-38.66,-19.4,14.53,Parado
0.03,0.3,0.96,-36.82,-18.78,14.45,Parado
0.04,0.23,0.74,-35.77,-18.84,12.21,Parado
0.05,0.17,1.09,-37.32,-18.85,11.34,Parado
0.11,-0.09,1.16,-35.99,-17.67,11.58,Parado
0.12,-0.12,1.06,-34.35,-16.09,11.63,Parado
0.09,0.0,0.96,-32.55,-15.09,11.77,Parado
0.13,-0.01,0.8,-31.98,-14.45,11.32,Parado
0.17,-0.08,0.87,-33.17,-15.84,11.27,Parado
-0.01,0.09,1.15,-39.81,-23.17,11.13,Parado
0.04,-0.24,1.19,-38.76,-20.62,10.28,Parado
0.15,-0.06,0.99,-38.48,-20.6,7.57,Parado
0.14,-0.08,0.96,-38.01,-20.33,6.0,VibracaoZ
0.14,-0.1,0.94,-37.53,-20.03,5.52,VibracaoZ
0.12,-0.11,0.97,-36.89,-19.86,5.49,VibracaoZ
0.14,-0.08,0.95,-36.21,-19.68,5.45,VibracaoZ
0.02,0.02,0.91,-34.82,-19.19,5.38,VibracaoZ
-0.44,0.07,0.94,-34.9,-18.62,1.96,VibracaoZ
-0.05,-0.04,0.91,-34.67,-18.64,1.62,VibracaoZ
0.11,-0.11,0.98,-36.41,-16.55,0.55,VibracaoZ
0.27,-0.23,1.13,-38.2,-10.86,0.03,VibracaoZ
0.09,-0.31,1.84,-34.84,-9.79,-0.71,VibracaoZ
0.02,-0.14,1.01,-29.92,-11.04,-0.81,VibracaoZ
-0.11,0.03,0.3,-24.36,-7.42,-0.09,VibracaoZ
0.52,0.26,-0.96,-23.7,-8.6,0.93,VibracaoZ
0.04,-0.47,0.48,-36.4,-4.24,-1.32,VibracaoZ
-0.55,-0.51,5.35,-33.92,0.12,-3.71,VibracaoZ
0.1,-0.57,0.42,-24.34,-9.33,-2.77,VibracaoZ
0.58,0.19,-1.32,-14.68,-8.34,-5.47,VibracaoZ
-0.22,0.44,-1.22,-20.95,-9.62,-6.94,VibracaoZ
0.14,-1.11,4.37,-24.66,0.66,-8.02,VibracaoZ
0.29,-0.65,2.65,-14.11,-9.64,-8.72,VibracaoZ
-0.04,0.36,-1.28,-3.21,-2.34,-7.83,VibracaoZ
-0.04,0.46,-1.65,-11.25,-1.81,-8.38,VibracaoZ
0.18,-1.15,3.74,-15.99,4.46,-10.11,VibracaoZ
-0.19,-0.78,3.38,-5.73,-6.8,-9.74,VibracaoZ
-0.15,0.37,-1.07,5.48,-0.17,-8.59,VibracaoZ
0.06,0.42,-1.96,-0.41,-2.96,-7.7,VibracaoZ
0.34,-0.98,3.04,-6.86,2.53,-10.04,VibracaoZ
-0.31,-0.57,4.03,1.94,-9.33,-10.63,VibracaoZ
-0.21,0.31,-1.24,16.13,-1.86,-10.57,VibracaoZ
0.07,0.29,-2.05,14.34,-4.22,-9.16,VibracaoZ
0.39,-0.9,1.12,1.28,-1.21,-10.13,VibracaoZ
-0.17,-0.57,5.1,7.03,-5.29,-10.72,VibracaoZ
-0.42,0.14,-0.68,19.88,-7.96,-12.22,VibracaoZ
0.52,0.26,-1.73,21.77,-3.79,-9.22,VibracaoZ
-0.08,-0.27,-0.0,5.04,-3.04,-10.56,VibracaoZ
-0.09,-0.71,5.13,5.04,1.64,-12.3,VibracaoZ
-0.15,-0.08,1.25,15.63,-10.42,-11.23,VibracaoZ
0.28,0.29,-1.74,21.36,-2.02,-9.42,VibracaoZ
0.13,-0.21,-0.32,4.41,-0.17,-11.74,VibracaoZ
-0.31,-0.1,4.29,2.94,1.89,-12.42,VibracaoZ
-0.04,-0.07,0.23,4.87,-3.4,-10.88,VibracaoZ
0.39,0.09,0.17,4.45,-1.79,-8.37,VibracaoZ
0.09,-0.01,1.08,3.48,-4.0,-7.93,VibracaoZ
0.09,-0.06,1.41,2.96,-3.88,-6.79,VibracaoZ
0.02,-0.05,0.88,3.2,-3.89,-5.02,VibracaoZ
0.25,0.02,1.1,3.17,-2.38,-4.52,VibracaoZ
0.13,-0.02,0.72,1.47,-1.5,-2.54,VibracaoZ
0.0,0.03,1.12,0.33,-2.82,-1.6,VibracaoZ
0.03,-0.06,0.79,-0.88,-3.77,-0.21,VibracaoZ
0.11,-0.07,1.31,-1.32,-4.53,0.47,VibracaoZ
